Sample description: 14-E06 Fab
Sample: 14-E06 Fab  c= 16.0000 mg/ml  Code: FAB1
Parent(s): C:/DOCUME~1/graewert/LOCALS~1/Temp/qt_temp.sv7720
 1.411030e+000  5.348533e+001  1.318884e+000
 1.413670e+000  5.208689e+001  1.321143e+000
 1.416300e+000  5.174291e+001  1.310670e+000
 1.418940e+000  5.218555e+001  1.321634e+000
 1.421570e+000  5.162563e+001  1.305324e+000
 1.424210e+000  5.213423e+001  1.318197e+000
 1.426840e+000  5.176024e+001  1.303089e+000
 1.429480e+000  5.135573e+001  1.307596e+000
 1.432110e+000  5.052420e+001  1.302339e+000
 1.434750e+000  5.120820e+001  1.310750e+000
 1.437380e+000  4.933622e+001  1.301392e+000
 1.440010e+000  5.030550e+001  1.291718e+000
 1.442650e+000  4.988351e+001  1.288809e+000
 1.445280e+000  4.824724e+001  1.278199e+000
 1.447920e+000  4.914980e+001  1.291810e+000
 1.450550e+000  4.789773e+001  1.278413e+000
 1.453190e+000  4.837993e+001  1.279599e+000
 1.455820e+000  4.804126e+001  1.272398e+000
 1.458460e+000  4.691466e+001  1.272016e+000
 1.461090e+000  4.679193e+001  1.264987e+000
 1.463730e+000  4.640902e+001  1.274275e+000
 1.466360e+000  4.643616e+001  1.265210e+000
 1.469000e+000  4.663740e+001  1.272528e+000
 1.471630e+000  4.649730e+001  1.262390e+000
 1.474270e+000  4.479272e+001  1.266872e+000
 1.476900e+000  4.552242e+001  1.279204e+000
 1.479530e+000  4.634665e+001  1.288250e+000
 1.482170e+000  4.510810e+001  1.303600e+000
 1.484800e+000  4.510064e+001  1.295013e+000
 1.487440e+000  4.596102e+001  1.318631e+000
 1.490070e+000  4.496919e+001  1.310500e+000
 1.492710e+000  4.481369e+001  1.322648e+000
 1.495340e+000  4.609854e+001  1.322509e+000
 1.497980e+000  4.449217e+001  1.321679e+000
 1.500610e+000  4.265614e+001  1.314442e+000
 1.503250e+000  4.273111e+001  1.323823e+000
 1.505880e+000  4.278874e+001  1.318542e+000
 1.508520e+000  4.173941e+001  1.319959e+000
 1.511150e+000  4.161002e+001  1.324882e+000
