Sample description: Extrapolated to infinite dilution
Sample: Extrapolated to  c= 0.000 mg/ml  Code: HiswoC1
Parent(s): mono_127_cut.dat mono_125_cut.dat mono_123_cut.dat
 1.467470e+000  2.114675e+000  1.448152e-001
 1.470200e+000  2.113450e+000  1.462162e-001
 1.472940e+000  1.850850e+000  1.450567e-001
 1.475670e+000  2.265075e+000  1.494800e-001
 1.478410e+000  2.281575e+000  1.440862e-001
 1.481140e+000  2.198725e+000  1.430521e-001
 1.483880e+000  2.033375e+000  1.388349e-001
 1.486610e+000  1.838950e+000  1.428778e-001
 1.489350e+000  1.954800e+000  1.412210e-001
 1.492080e+000  1.978150e+000  1.425010e-001
 1.494820e+000  1.690125e+000  1.413515e-001
 1.497550e+000  1.799200e+000  1.393261e-001
 1.500290e+000  1.868350e+000  1.383972e-001
 1.503020e+000  1.827875e+000  1.404859e-001
 1.505760e+000  2.057175e+000  1.435972e-001
 1.508490e+000  2.038275e+000  1.414203e-001
 1.511230e+000  2.019375e+000  1.400667e-001
 1.513960e+000  1.911300e+000  1.416200e-001
 1.516700e+000  1.732400e+000  1.421563e-001
 1.519430e+000  1.892825e+000  1.446216e-001
 1.522170e+000  1.964650e+000  1.449412e-001
 1.524900e+000  1.850875e+000  1.422094e-001
 1.527640e+000  1.904175e+000  1.439775e-001
 1.530370e+000  1.614325e+000  1.412744e-001
 1.533110e+000  1.920725e+000  1.424510e-001
 1.535840e+000  1.937625e+000  1.409278e-001
 1.538580e+000  1.646075e+000  1.387459e-001
 1.541310e+000  1.685475e+000  1.399145e-001
 1.544050e+000  1.800200e+000  1.445233e-001
 1.546780e+000  1.680925e+000  1.399492e-001
 1.549520e+000  1.669575e+000  1.388341e-001
 1.552250e+000  1.822700e+000  1.430881e-001
 1.554990e+000  1.788225e+000  1.412856e-001
 1.557720e+000  1.506125e+000  1.411917e-001
 1.560460e+000  1.811500e+000  1.401777e-001
 1.563190e+000  1.833075e+000  1.413250e-001
 1.565930e+000  1.821850e+000  1.386342e-001
 1.568660e+000  1.533375e+000  1.405991e-001
 1.571400e+000  1.589550e+000  1.414404e-001
 1.574130e+000  1.708725e+000  1.397938e-001
 1.576870e+000  1.569825e+000  1.422340e-001
 1.579600e+000  1.300975e+000  1.389565e-001
 1.582340e+000  1.519075e+000  1.427165e-001
 1.585070e+000  1.756775e+000  1.429685e-001
 1.587810e+000  1.595425e+000  1.369541e-001
 1.590540e+000  1.549725e+000  1.434585e-001
 1.593280e+000  1.442975e+000  1.380098e-001
 1.596010e+000  1.492000e+000  1.356011e-001
 1.598750e+000  1.508150e+000  1.392989e-001
