 22-Oct-2005       (fran2_059.dat - 1.000 *fran2_060.dat) /  2.5000
fran2_059.da  Conc = .25E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
 an2_060.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2127  SCALE =  1
  0.108758E+01  0.130764E+06  0.396049E+04
  0.108983E+01  0.128576E+06  0.390526E+04
  0.109208E+01  0.121740E+06  0.391901E+04
  0.109433E+01  0.129848E+06  0.392346E+04
  0.109658E+01  0.124968E+06  0.390927E+04
  0.109883E+01  0.119868E+06  0.394210E+04
  0.110108E+01  0.125016E+06  0.387893E+04
  0.110333E+01  0.130764E+06  0.390432E+04
  0.110558E+01  0.124556E+06  0.390193E+04
  0.110783E+01  0.121480E+06  0.390472E+04
  0.111008E+01  0.114152E+06  0.389169E+04
  0.111233E+01  0.115852E+06  0.386756E+04
  0.111458E+01  0.114732E+06  0.388806E+04
  0.111683E+01  0.120348E+06  0.387094E+04
  0.111908E+01  0.117224E+06  0.387404E+04
  0.112133E+01  0.109960E+06  0.387839E+04
  0.112358E+01  0.112592E+06  0.385336E+04
  0.112583E+01  0.105904E+06  0.387956E+04
  0.112808E+01  0.101076E+06  0.384688E+04
  0.113033E+01  0.976240E+05  0.385591E+04
  0.113257E+01  0.108892E+06  0.385888E+04
  0.113482E+01  0.108100E+06  0.384622E+04
  0.113707E+01  0.107804E+06  0.384980E+04
  0.113932E+01  0.108988E+06  0.381274E+04
  0.114157E+01  0.994560E+05  0.385832E+04
  0.114382E+01  0.106260E+06  0.383066E+04
  0.114607E+01  0.989720E+05  0.384811E+04
  0.114832E+01  0.106724E+06  0.382025E+04
  0.115057E+01  0.106672E+06  0.380386E+04
  0.115282E+01  0.105644E+06  0.384573E+04
  0.115507E+01  0.989120E+05  0.380347E+04
  0.115732E+01  0.953440E+05  0.382426E+04
  0.115957E+01  0.979600E+05  0.380750E+04
  0.116182E+01  0.109476E+06  0.379603E+04
  0.116407E+01  0.106420E+06  0.383265E+04
  0.116632E+01  0.102976E+06  0.376971E+04
  0.116857E+01  0.987240E+05  0.380244E+04
  0.117082E+01  0.941600E+05  0.379992E+04
  0.117307E+01  0.944920E+05  0.380447E+04
  0.117532E+01  0.975760E+05  0.379502E+04
  0.117757E+01  0.100272E+06  0.374554E+04
  0.117982E+01  0.962560E+05  0.380649E+04
  0.118207E+01  0.103404E+06  0.377532E+04
  0.118432E+01  0.953960E+05  0.378301E+04
  0.118657E+01  0.914680E+05  0.376641E+04
  0.118882E+01  0.910360E+05  0.373822E+04
  0.119107E+01  0.925720E+05  0.377392E+04
  0.119332E+01  0.858400E+05  0.375496E+04
  0.119557E+01  0.843480E+05  0.376929E+04
  0.119782E+01  0.863280E+05  0.374460E+04
  0.120007E+01  0.824400E+05  0.374247E+04
  0.120232E+01  0.776400E+05  0.376897E+04
  0.120457E+01  0.844640E+05  0.371596E+04
  0.120681E+01  0.882000E+05  0.373669E+04
  0.120906E+01  0.907000E+05  0.372892E+04
  0.121131E+01  0.901280E+05  0.374951E+04
  0.121356E+01  0.810320E+05  0.374229E+04
  0.121581E+01  0.802840E+05  0.370941E+04
  0.121806E+01  0.880920E+05  0.373626E+04
