 19-May-2006       (cal_031.dat - 1.000 *Avrag07.dat) /  3.9050               
cal_031.dat   Conc = .39E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
 Avrag07.dat  Conc = .10E+01  Mult = .10E+01  N1 =    1  N2 = 2135  SCALE =  1
  0.123701E+01  0.693316E+01  0.175857E+00
  0.123930E+01  0.713880E+01  0.177459E+00
  0.124158E+01  0.722868E+01  0.176484E+00
  0.124387E+01  0.686453E+01  0.176689E+00
  0.124615E+01  0.697132E+01  0.175939E+00
  0.124844E+01  0.649808E+01  0.176001E+00
  0.125072E+01  0.668297E+01  0.175843E+00
  0.125301E+01  0.658950E+01  0.174833E+00
  0.125529E+01  0.674110E+01  0.175966E+00
  0.125757E+01  0.677106E+01  0.175098E+00
  0.125986E+01  0.667196E+01  0.175269E+00
  0.126214E+01  0.674033E+01  0.175561E+00
  0.126443E+01  0.633752E+01  0.173737E+00
  0.126671E+01  0.647324E+01  0.174434E+00
  0.126900E+01  0.635416E+01  0.173853E+00
  0.127128E+01  0.617849E+01  0.174483E+00
  0.127357E+01  0.625301E+01  0.174203E+00
  0.127585E+01  0.606607E+01  0.173257E+00
  0.127814E+01  0.624635E+01  0.173578E+00
  0.128042E+01  0.596978E+01  0.172534E+00
